Index,Time,SegStart,SegEnd,AWC
39,5:45 AM,1169.48,1199.48,21.87
49,5:50 AM,1467.18,1497.18,24.93
91,6:11 AM,2725.88,2755.88,22.16
100,6:15 AM,2986.3175,3016.3175,30.9975
120,6:25 AM,3577.16,3607.16,49.37
151,6:40 AM,4506.15,4536.15,33.81
174,6:52 AM,5193.04,5223.04,71.97
182,6:56 AM,5440.89,5470.89,108.74
230,7:20 AM,6880.786667,6910.786667,32.193333
239,7:24 AM,7146.62,7176.62,32.95
257,7:33 AM,7691.65,7721.65,35.775
275,7:43 AM,8248.53,8278.53,21.35
331,8:10 AM,9903.9,9933.9,66.37
524,9:47 AM,15702.116667,15732.116667,35.09
550,10:00 A,16484,16514,26.08
570,10:10 A,17087.03,17117.03,37.05
993,1:41 PM,29775.52,29805.52,41.35
1016,1:53 PM,30454.73,30484.73,24.88
1022,1:56 PM,30644.296667,30674.296667,24.493333
1036,2:03 PM,31058.49,31088.49,60.24
1086,2:28 PM,32575.77,32605.77,21.33
1103,2:36 PM,33070.88,33100.88,25.1
1141,2:55 PM,34219.87,34249.87,21.48
1185,3:17 PM,35530.52,35560.52,115.925
1196,3:23 PM,35858.715,35888.715,56.205
1204,3:27 PM,36097.916667,36127.916667,82.06
1214,3:32 PM,36391.61,36421.61,96.52
1221,3:35 PM,36616.4,36646.4,23.47
1227,3:39 PM,36808.87,36838.87,22.12
1245,3:47 PM,37332.09,37362.09,193.12
1257,3:53 PM,37684.8,37714.8,36.82
1291,4:11 PM,38728.38,38758.38,100.57
1302,4:16 PM,39032.49,39062.49,230.5
1318,4:24 PM,39526.18,39556.18,111.31
1335,4:32 PM,40027.72,40057.72,47.705
1345,4:38 PM,40347.76,40377.76,94.74
1357,4:43 PM,40690.25,40720.25,163.16
1372,4:51 PM,41141.465,41171.465,98.08
1391,5:01 PM,41726.28,41756.28,40.32
1412,5:11 PM,42334.07,42364.07,101.66
1418,5:14 PM,42521.595,42551.595,25.965
1427,5:19 PM,42809.97,42839.97,161.82
1445,5:27 PM,43323.345,43353.345,29.31
1451,5:30 PM,43516.02,43546.02,88.58
1472,5:41 PM,44138.865,44168.865,48.69
1479,5:44 PM,44340.68,44370.68,49.65
1492,5:51 PM,44738.87,44768.87,22.62
1516,6:03 PM,45455.86,45485.86,28.36
1522,6:06 PM,45637.495,45667.495,33.28
1551,6:20 PM,46502.28,46532.28,39.27
